Fragrance Note,Image,Group,Description
Powdery notes,https://fimgs.net/mdimg/sastojci/m.482.jpg?1585701558,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","A vast variety of natural and synthetic notes give a powdery effect to perfume composition. Most usual powder notes are iris/orris, violet, vanilla, rose, musks, heliotrope, opoponax resin, and some amber materials."
Propolis,https://fimgs.net/mdimg/sastojci/m.1116.jpg?1620071104,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Rain Notes,https://fimgs.net/mdimg/sastojci/m.800.jpg?1598567122,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Salt,https://fimgs.net/mdimg/sastojci/m.231.jpg?1441518477,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","A savory note that can render interesting a marine, woody or -more intriguingly- a gourmand composition. "
Sand,https://fimgs.net/mdimg/sastojci/m.325.jpg?1441516292,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A comfortable mineral note.
Satin,https://fimgs.net/mdimg/sastojci/m.558.jpg?1441501508,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Scent Trek®,https://fimgs.net/mdimg/sastojci/m.1106.jpg?1617290176,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Sea Water,https://fimgs.net/mdimg/sastojci/m.324.jpg?1441515777,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",A fresh salty fragrance of the sea.
Silk,https://fimgs.net/mdimg/sastojci/m.1003.jpg?1564261526,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Slate,https://fimgs.net/mdimg/sastojci/m.459.jpg?1441516999,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",Fantasy note that is dry and modern.
Smoke,https://fimgs.net/mdimg/sastojci/m.735.jpg?1585710238,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Different ingredients can produce a smoky effect (birch tar, different incenses)."
Snow,https://fimgs.net/mdimg/sastojci/m.835.jpg?1514667416,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Soap,https://fimgs.net/mdimg/sastojci/m.1057.jpg?1598564634,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Sodium Silicate,https://fimgs.net/mdimg/sastojci/m.802.jpg?1463888712,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Solar notes,https://fimgs.net/mdimg/sastojci/m.672.jpg?1585802995,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",An uplifting sparkling note of different sources.
Spiranol,https://fimgs.net/mdimg/sastojci/m.1052.jpg?1599070877,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Firmenich molecule Spiranol has camphoreous, woody, green, cooling minty, earthy and tropical scent."
Spray paint,https://fimgs.net/mdimg/sastojci/m.998.jpg?1560678000,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Stone,https://fimgs.net/mdimg/sastojci/m.1073.jpg?1612534186,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Sulphur,https://fimgs.net/mdimg/sastojci/m.1063.jpg?1603222933,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Suntan Lotion,https://fimgs.net/mdimg/sastojci/m.1035.jpg?1579736088,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Talc,https://fimgs.net/mdimg/sastojci/m.976.jpg?1556828462,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Tennis ball,https://fimgs.net/mdimg/sastojci/m.557.jpg?1441501707,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Tonquitone™,https://fimgs.net/mdimg/sastojci/m.1134.jpg?1621779773,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Trimofix®,https://fimgs.net/mdimg/sastojci/m.1137.jpg?1621993220,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Tulle accord,https://fimgs.net/mdimg/sastojci/m.842.jpg?1598580702,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Vanillin,https://fimgs.net/mdimg/sastojci/m.1078.jpg?1612581731,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Varnish accord,https://fimgs.net/mdimg/sastojci/m.789.jpg?1454436906,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Velvet,https://fimgs.net/mdimg/sastojci/m.779.jpg?1598577421,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Verdox,https://fimgs.net/mdimg/sastojci/m.1053.jpg?1599071719,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","Created in 1991 by IFF, Verdox ™ is a synthetic raw material which is often used to deliver an apple note to perfumes. The molecule also develops an intense woody facet. Verdox ™ is used in woody, coniferous, fruity-apple and fruity tea notes."
Vinyl,https://fimgs.net/mdimg/sastojci/m.499.jpg?1441502024,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Water,https://fimgs.net/mdimg/sastojci/m.370.jpg?1441519669,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD","There is a number of modern synthetic materials reminiscent of watery flowers, sappy greens, and water itself. "
Wet plaster,https://fimgs.net/mdimg/sastojci/m.607.jpg?1441562916,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Wool,https://fimgs.net/mdimg/sastojci/m.830.jpg?1598596693,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
Yeast,https://fimgs.net/mdimg/sastojci/m.1081.jpg?1612651288,"NATURAL AND SYNTHETIC, POPULAR AND WEIRD",NULL
